SA2_MAIN16,localities,no_vehicle,hospital,police_station,fire_station,ambulance_station,ses_facility
111021215,"Newcastle, Remainder of State/Territory (NSW)",6.4,0,0,1,0,0
111021216,"Morisset - Cooranbong, Remainder of State/Territory (NSW)",2.9,0,0,1,0,0
111021219,"Awaba (L), Newcastle, Remainder of State/Territory (NSW)",6.9,0,1,2,1,0
111021217,"Minmi (L), Newcastle, Remainder of State/Territory (NSW)",2.8,0,0,0,0,0
111021220,"Newcastle, Remainder of State/Territory (NSW)",2.4,0,0,1,0,0
110021194,No localities found,6,2,2,14,2,2
111021221,"Killingworth (L), Minmi (L), Newcastle, Remainder of State/Territory (NSW), Seahampton (L)",2.5,0,0,5,0,0
111031224,Newcastle,19.6,0,0,0,1,0
111031222,Newcastle,7.1,0,0,0,0,0
111021218,"Central Coast, Morisset - Cooranbong, Newcastle, Remainder of State/Territory (NSW), Wyee, Wyee Point",5.5,1,1,7,1,1
111031223,"Maitland (NSW), Newcastle, Raymond Terrace, Remainder of State/Territory (NSW), Tomago (L)",10.7,0,1,1,1,0
111031225,Newcastle,9.2,1,0,1,0,0
111031226,"Minmi (L), Newcastle, Remainder of State/Territory (NSW)",2.6,0,0,1,0,0
111031228,Newcastle,7.4,0,0,1,0,0
111031229,Newcastle,10.6,1,1,1,0,0
111031227,Newcastle,15,0,0,1,0,0
111031230,Newcastle,-999,0,0,0,0,0
111031232,"Newcastle, Remainder of State/Territory (NSW)",7.2,0,1,1,1,0
111031234,Newcastle,9.7,1,1,0,0,0
111031231,"Newcastle, Remainder of State/Territory (NSW)",16.6,0,0,0,1,0
112011236,"Ballina, Lennox Head, Remainder of State/Territory (NSW)",9.2,1,1,1,1,1
112011240,"Byron Bay, Ewingsdale (L), Remainder of State/Territory (NSW)",6,1,1,2,0,0
111031235,Newcastle,12,0,0,1,0,1
112011239,"Brunswick Heads, Ocean Shores, Remainder of State/Territory (NSW), South Golden Beach",3.6,0,1,1,0,0
114011275,No localities found,0,0,0,0,0,0
111031233,"Newcastle, Remainder of State/Territory (NSW)",9.7,0,0,1,0,0
112011242,"Lennox Head, Lennox Head - West (L), Remainder of State/Territory (NSW), Skennars Head",1.8,0,0,1,0,0
112011241,"Broadwater (L), Evans Head, Remainder of State/Territory (NSW), Woodburn (L)",7.5,0,2,4,1,2
112011238,"Bangalow, Byron Bay, Ewingsdale (L), Remainder of State/Territory (NSW)",0.4,0,1,2,1,0
112011243,"Mullumbimby, Ocean Shores, Remainder of State/Territory (NSW), South Golden Beach",3,1,1,6,1,1
112021244,"Casino, Fairy Hill (L), Remainder of State/Territory (NSW), Wooroowoolgan (L)",9.3,1,1,1,1,1
112021246,"Lismore, Remainder of State/Territory (NSW), Richmond Hill (L)",6.2,0,0,1,0,1
112011237,"Alstonville, Ballina, Cumbalum (L), Remainder of State/Territory (NSW), Tintenbar (L), Wardell (L), Wollongbar",2.8,0,2,5,0,0
112021248,"Lismore, Remainder of State/Territory (NSW), Richmond Hill (L)",10.1,2,1,2,1,1
110041205,"Attunga (L), Barraba, Kingswood (L), Kootingal, Manilla, Moonbi (L), Nundle (L), Remainder of State/Territory (NSW), Tamworth",3.4,2,6,26,2,3
112031251,"Murwillumbah, Remainder of State/Territory (NSW)",9,1,1,2,1,1
112031250,"Cudgen (L), Gold Coast - Tweed Heads (Tweed Heads Part), Remainder of State/Territory (NSW)",4.5,0,1,2,1,0
109021179,"Balranald, Euston (L), Remainder of State/Territory (NSW), Remainder of State/Territory (Vic.), Robinvale, Tooleybuc (L), Wentworth",7.7,1,2,32,1,1
112031550,"Gold Coast - Tweed Heads (Tweed Heads Part), Remainder of State/Territory (NSW)",7.1,0,0,0,0,1
112031551,"Gold Coast - Tweed Heads (Tweed Heads Part), Remainder of State/Territory (NSW)",0.4,0,0,0,0,0
112031253,"Burringbar (L), Gold Coast - Tweed Heads (Tweed Heads Part), Hastings Point (L), Pottsville, Remainder of State/Territory (NSW)",3.4,0,0,3,0,1
112031552,Gold Coast - Tweed Heads (Tweed Heads Part),9.1,0,0,2,0,0
112031254,"Gold Coast - Tweed Heads (Gold Coast Part), Gold Coast - Tweed Heads (Tweed Heads Part), Remainder of State/Territory (NSW), Remainder of State/Territory (Qld)",11.4,1,1,1,1,0
112031252,"Murwillumbah, Nunderi (L), Remainder of State/Territory (NSW), Remainder of State/Territory (Qld), Tumbulgum (L), Tyalgum (L), Uki (L)",1.3,0,0,4,0,0
113011256,"Beelbangera (L), Griffith, Remainder of State/Territory (NSW)",7.8,1,1,2,1,1
113011258,"Leeton, Remainder of State/Territory (NSW), Yanco (L)",6.2,1,1,3,1,1
113021261,No localities found,8.9,1,1,2,1,1
113011259,"Barellan (L), Narrandera, Remainder of State/Territory (NSW)",8.3,1,3,14,1,1
113031263,"Cootamundra, Remainder of State/Territory (NSW), Stockinbingal (L)",8.9,1,3,8,1,1
112021249,"Caniaba (L), Clunes (L) (NSW), Coraki (L), Dunoon (L), Lismore, Modanville (L), Nimbin (L), Remainder of State/Territory (NSW), Richmond Hill (L), Woodburn (L)",3,1,1,16,0,0
110031196,"Ashley (L), Boggabilla (L), Goondiwindi, Moree, Mungindi (NSW Part) (L), Pallamallawa (L), Remainder of State/Territory (NSW), Remainder of State/Territory (Qld), Toomelah (L)",4.3,0,5,16,1,3
112021245,"Bonalbo (L), Coraki (L), Fairy Hill (L), Remainder of State/Territory (NSW)",3.9,2,3,21,1,2
113031264,"Gundagai, Remainder of State/Territory (NSW)",4.5,1,1,10,1,1
113031268,"Estella, Remainder of State/Territory (NSW), Wagga Wagga",4,0,0,0,0,0
113031265,"Junee, Remainder of State/Territory (NSW)",6.1,1,1,13,1,1
113031267,"Forest Hill, Remainder of State/Territory (NSW), Wagga Wagga",4.3,0,0,0,0,0
